,A1_1,A2_1,A3_1,B1_a,B1_a3,B1_a5,B1_b,B1_c,B2_c2,B2_d1,B2_d3,B2_d5,B2_d6,B2_d7,B2_d8,B2_d9,B3,B5_a2
A1_1,1.0,-0.28410276319339384,0.06275309886410749,-0.059711774573779845,0.03689564720455027,-0.02601767537324915,0.026430493790593715,0.030532697110470422,-0.02475909641903934,0.010351020828180414,0.0037588093674085278,0.003681642827720643,0.0009027110812198098,0.028690883826099578,0.17683993236661252,0.10958115580722791,0.030462735220421134,-0.007837495918983176
A2_1,-0.28410276319339384,1.0,-0.033859443927735745,-0.012389669121239115,0.017412605203604967,0.05319067118299303,0.10426776818572424,0.01548551102310242,0.4466628257287047,0.10398013991518618,0.12269339799499289,0.04095889105730166,-0.017982862276284046,0.0330056186739357,-0.041535524820275595,-0.04826231895003049,0.03675127622333705,0.013069148466017873
A3_1,0.06275309886410749,-0.033859443927735745,1.0,0.04123218511904338,0.0954196121613975,0.09392018002320099,-0.010307032829046237,-0.11534919860248115,0.06713249748521928,-0.07634911049985219,-0.11275531735829089,-0.10414455557419082,0.08430404441821941,0.01769318908352136,-0.03166724619206126,-0.03467431031642714,-0.05036748954309054,-0.05001635625407977
B1_a,-0.059711774573779845,-0.012389669121239115,0.04123218511904338,1.0,0.12668746267634592,0.20773745650117004,-0.03995617724541473,-0.10939529876245586,-0.0510813742981005,0.053076845599273816,-0.034230854977853366,-0.060116095982576084,0.27595090301352143,0.07581055678845494,0.07629699199651341,0.20305619354632026,-0.09292501374685161,-0.018715782812403672
B1_a3,0.03689564720455027,0.017412605203604967,0.0954196121613975,0.12668746267634592,1.0,0.10753277778192141,0.023017825008254993,-0.06769862046475232,0.04121713828806921,-0.04120396977465919,-0.0288925369813864,-0.0448179143404165,0.05160071573634251,-0.011985582482687563,0.02987272649876706,0.02714233041125365,-0.04549820173662087,0.00030799730533010865
B1_a5,-0.02601767537324915,0.05319067118299303,0.09392018002320099,0.20773745650117004,0.10753277778192141,1.0,0.0231845052612496,-0.16920885245145648,0.04608744539983438,0.06607120015623187,0.01946326529208948,0.026788309354559444,0.11577129020163816,0.09314904783628486,0.05044343743515117,0.12585218694314917,-0.019160428920654848,-0.0069325829101641165
B1_b,0.026430493790593715,0.10426776818572424,-0.010307032829046237,-0.03995617724541473,0.023017825008254993,0.0231845052612496,1.0,0.13868836969946355,0.07374380089253868,0.011854088144929775,0.023008628039366232,0.014498887925580671,-0.06213947001111643,0.031956346387274855,0.04591124469201194,0.015752533295718307,0.10619819197216482,-0.007651628327938715
B1_c,0.030532697110470422,0.01548551102310242,-0.11534919860248115,-0.10939529876245586,-0.06769862046475232,-0.16920885245145648,0.13868836969946355,1.0,-0.049746516623667685,0.06359666314737762,0.06467397400098729,0.06128613571922761,-0.14038025986563343,-0.07595958506153161,-0.05290983828025926,-0.027642376651038716,0.08343802943287293,0.03236624950647581
B2_c2,-0.02475909641903934,0.4466628257287047,0.06713249748521928,-0.0510813742981005,0.04121713828806921,0.04608744539983438,0.07374380089253868,-0.049746516623667685,1.0,0.009420564694775651,0.03792700729762069,0.04355861751492301,-0.06966251895837237,0.06176415097725219,-0.0252067654901371,-0.02310567106532378,0.08469743239706051,0.042015306466888544
B2_d1,0.010351020828180414,0.10398013991518618,-0.07634911049985219,0.053076845599273816,-0.04120396977465919,0.06607120015623187,0.011854088144929775,0.06359666314737762,0.009420564694775651,1.0,0.8329978151523163,0.127532695798264,-0.04880605874031391,0.04536963012015249,0.11372322253645396,0.0682700743455335,0.05537657509259734,-0.03583317846269094
B2_d3,0.0037588093674085278,0.12269339799499289,-0.11275531735829089,-0.034230854977853366,-0.0288925369813864,0.01946326529208948,0.023008628039366232,0.06467397400098729,0.03792700729762069,0.8329978151523163,1.0,0.17651408150198714,-0.06532531579894826,0.08940415299351187,0.14705206315576297,0.044115975372245084,0.1594161696324963,-0.02619834267161933
B2_d5,0.003681642827720643,0.04095889105730166,-0.10414455557419082,-0.060116095982576084,-0.0448179143404165,0.026788309354559444,0.014498887925580671,0.06128613571922761,0.04355861751492301,0.127532695798264,0.17651408150198714,1.0,0.03230545475673505,0.27048923007106834,0.10734861936927652,0.08201519213450018,0.21292332215987875,-0.03666046180912397
B2_d6,0.0009027110812198098,-0.017982862276284046,0.08430404441821941,0.27595090301352143,0.05160071573634251,0.11577129020163816,-0.06213947001111643,-0.14038025986563343,-0.06966251895837237,-0.04880605874031391,-0.06532531579894826,0.03230545475673505,1.0,0.1526314823519287,0.1807807231886469,0.1428268578127954,-0.0929446033631382,-0.04868548155861481
B2_d7,0.028690883826099578,0.0330056186739357,0.01769318908352136,0.07581055678845494,-0.011985582482687563,0.09314904783628486,0.031956346387274855,-0.07595958506153161,0.06176415097725219,0.04536963012015249,0.08940415299351187,0.27048923007106834,0.1526314823519287,1.0,0.44980648590898203,0.44207749699399446,0.08036362698002084,-0.014370489625729429
B2_d8,0.17683993236661252,-0.041535524820275595,-0.03166724619206126,0.07629699199651341,0.02987272649876706,0.05044343743515117,0.04591124469201194,-0.05290983828025926,-0.0252067654901371,0.11372322253645396,0.14705206315576297,0.10734861936927652,0.1807807231886469,0.44980648590898203,1.0,0.7750191338346492,0.04464841741398639,-0.010537042275316296
B2_d9,0.10958115580722791,-0.04826231895003049,-0.03467431031642714,0.20305619354632026,0.02714233041125365,0.12585218694314917,0.015752533295718307,-0.027642376651038716,-0.02310567106532378,0.0682700743455335,0.044115975372245084,0.08201519213450018,0.1428268578127954,0.44207749699399446,0.7750191338346492,1.0,0.009544365460570772,-0.009199185070242283
B3,0.030462735220421134,0.03675127622333705,-0.05036748954309054,-0.09292501374685161,-0.04549820173662087,-0.019160428920654848,0.10619819197216482,0.08343802943287293,0.08469743239706051,0.05537657509259734,0.1594161696324963,0.21292332215987875,-0.0929446033631382,0.08036362698002084,0.04464841741398639,0.009544365460570772,1.0,-0.0025969640788575895
B5_a2,-0.007837495918983176,0.013069148466017873,-0.05001635625407977,-0.018715782812403672,0.00030799730533010865,-0.0069325829101641165,-0.007651628327938715,0.03236624950647581,0.042015306466888544,-0.03583317846269094,-0.02619834267161933,-0.03666046180912397,-0.04868548155861481,-0.014370489625729429,-0.010537042275316296,-0.009199185070242283,-0.0025969640788575895,1.0
